자치구별,평수,평당가격,,면적,평,가격,최종가격
,,,,49.5,15,"24,780",1652
,,,,59.04,17.89090909,"28,900",1615.345528
,,,,49.5,15,"24,700",1646.666667
,,,,49.5,15,"22,900",1526.666667
,,,,59.04,17.89090909,"29,000",1620.934959
,,,,39.6,12,"20,600",1716.666667
,,,,49.5,15,"24,700",1646.666667
,,,,39.6,12,"19,700",1641.666667
,,,,39.6,12,"19,500",1625
,,,,59.04,17.89090909,"29,500",1648.882114
,,,,39.6,12,"19,200",1600
,,,,59.04,17.89090909,"27,000",1509.146341
,,,,39.6,12,"20,500",1708.333333
,,,,39.6,12,"18,000",1500
,,,,49.5,15,"26,400",1760
,,,,39.6,12,"18,400",1533.333333
,,,,39.6,12,"20,500",1708.333333
,,,,49.5,15,"24,500",1633.333333
,,,,39.6,12,"20,500",1708.333333
,,,,49.5,15,"25,000",1666.666667
,,,,100.82,30.55151515,"37,000",1211.069232
,,,,84.77,25.68787879,"32,300",1257.402383
,,,,59.89,18.14848485,"27,450",1512.522959
,,,,59.89,18.14848485,"22,500",1239.772917
,,,,100.82,30.55151515,"35,800",1171.791311
,,,,84.77,25.68787879,"32,400",1261.29527
,,,,59.89,18.14848485,"25,200",1388.545667
,,,,59.89,18.14848485,"24,400",1344.464852
,,,,84.77,25.68787879,"30,500",1187.330423
,,,,84.77,25.68787879,"32,000",1245.723723
,,,,84.77,25.68787879,"33,500",1304.117023
,,,,59.89,18.14848485,"26,000",1432.626482
,,,,100.82,30.55151515,"35,500",1161.971831
,,,,59.89,18.14848485,"23,400",1289.363834
,,,,59.89,18.14848485,"27,500",1515.27801
,,,,51.03,15.46363636,"22,700",1467.960024
,,,,51.03,15.46363636,"23,500",1519.694297
,,,,51.03,15.46363636,"22,000",1422.692534
,,,,51.03,15.46363636,"22,000",1422.692534
,,,,84.6,25.63636364,"30,900",1205.319149
,,,,84.6,25.63636364,"35,000",1365.248227
,,,,51.03,15.46363636,"22,000",1422.692534
,,,,51.03,15.46363636,"22,700",1467.960024
,,,,51.03,15.46363636,"23,000",1487.360376
,,,,114.88,34.81212121,"39,000",1120.299443
,,,,84.6,25.63636364,"36,500",1423.758865
,,,,51.03,15.46363636,"22,700",1467.960024
,,,,84.6,25.63636364,"36,000",1404.255319
,,,,84.6,25.63636364,"35,500",1384.751773
,,,,114.88,34.81212121,"38,800",1114.554318
,,,,114.88,34.81212121,"38,500",1105.93663
,,,,51.03,15.46363636,"23,500",1519.694297
,,,,51.03,15.46363636,"23,000",1487.360376
,,,,84.6,25.63636364,"35,000",1365.248227
,,,,51.03,15.46363636,"22,750",1471.193416
,,,,84.6,25.63636364,"35,450",1382.801418
,,,,51.03,15.46363636,"22,450",1451.793063
,,,,51.03,15.46363636,"22,300",1442.092887
,,,,84.6,25.63636364,"34,500",1345.744681
,,,,84.6,25.63636364,"35,400",1380.851064
,,,,114.88,34.81212121,"38,700",1111.681755
,,,,84.6,25.63636364,"33,500",1306.737589
,,,,84.6,25.63636364,"36,500",1423.758865
,,,,114.88,34.81212121,"38,700",1111.681755
,,,,84.6,25.63636364,"34,600",1349.64539
,,,,114.88,34.81212121,"41,900",1203.60376
,,,,114.88,34.81212121,"39,300",1128.917131
,,,,84.6,25.63636364,"34,700",1353.546099
,,,,114.88,34.81212121,"43,900",1261.055014
,,,,51.03,15.46363636,"22,900",1480.893592
,,,,51.03,15.46363636,"23,500",1519.694297
,,,,51.03,15.46363636,"22,900",1480.893592
,,,,84.6,25.63636364,"31,000",1209.219858
,,,,51.03,15.46363636,"22,000",1422.692534
,,,,51.03,15.46363636,"22,800",1474.426808
,,,,51.03,15.46363636,"24,000",1552.028219
,,,,51.03,15.46363636,"22,900",1480.893592
,,,,114.88,34.81212121,"43,800",1258.182451
,,,,51.03,15.46363636,"23,300",1506.760729
