"용산구","외국인",14861,725,745,578,423,964,1495,2056,1934,1643,1409,1163,874,484,211,86,38,17,9,5,-,2,15283,707,797,562,507,1045,1679,2090,2012,1647,1429,1110,828,476,215,95,49,19,7,7,-,2,16091,685,781,565,544,1461,1770,2232,2031,1676,1400,1124,908,486,237,98,59,20,4,5,3,2,16515,696,809,582,542,1571,1882,2160,2062,1746,1419,1158,947,496,241,105,58,27,3,6,3,2,14605,599,783,583,434,927,1520,1892,1948,1638,1345,1094,876,498,239,132,54,26,7,4,4,2
"성동구","계",307161,12703,11206,10354,14511,22458,24559,26365,26537,25032,26266,24506,24979,18423,13006,10764,7997,4458,1947,680,211,199,312711,12661,11113,10355,13870,22749,26099,26026,27863,24488,26796,24345,25594,19479,13397,10895,8828,4907,2098,698,232,218,316463,12345,11081,10222,13137,23163,26888,26102,28711,23476,26817,25169,25698,20887,13756,11127,9073,5307,2239,790,243,232,308979,11370,10928,9645,12316,22455,26763,25183,27121,22796,25348,24810,24905,21392,14118,11307,9155,5567,2458,869,236,237,300505,10197,10503,9180,10996,21368,26519,24371,25765,22406,23441,24421,23842,21893,14994,11569,9065,5878,2654,935,254,254
"성동구","한국인",299259,12487,11106,10299,14191,20813,23383,25507,25979,24526,25637,23737,24334,18120,12938,10734,7989,4450,1944,678,209,198,304808,12448,10989,10295,13559,21011,24929,25124,27272,24025,26158,23660,24954,19232,13325,10870,8821,4900,2094,697,230,215,308221,12124,10953,10161,12808,21164,25733,25248,28111,22986,26245,24468,24981,20610,13669,11106,9060,5300,2235,789,241,229,300889,11181,10802,9576,11859,20347,25638,24419,26545,22344,24825,24187,24259,21111,14022,11280,9144,5560,2454,868,234,234,293556,10061,10388,9117,10698,19590,25453,23676,25229,21994,23026,23919,23329,21641,14893,11533,9053,5871,2649,933,252,251
"성동구","외국인",7902,216,100,55,320,1645,1176,858,558,506,629,769,645,303,68,30,8,8,3,2,2,1,7903,213,124,60,311,1738,1170,902,591,463,638,685,640,247,72,25,7,7,4,1,2,3,8242,221,128,61,329,1999,1155,854,600,490,572,701,717,277,87,21,13,7,4,1,2,3,8090,189,126,69,457,2108,1125,764,576,452,523,623,646,281,96,27,11,7,4,1,2,3,6949,136,115,63,298,1778,1066,695,536,412,415,502,513,252,101,36,12,7,5,2,2,3
"광진구","계",372104,13107,12741,13407,19709,30188,34205,33629,30401,29233,32350,29851,30052,21790,14486,11323,8139,4365,2032,693,229,174,372298,12351,12577,13387,18322,30249,35398,32573,30951,28211,32203,29380,30173,22570,15181,11602,8995,4794,2184,767,253,177,371063,11578,12357,12966,17274,30131,36505,31541,31339,26618,31484,29663,30049,23939,15380,12100,9292,5251,2320,826,260,190,366972,10307,12122,12482,16225,29842,37545,31069,29529,26106,30161,29571,29113,24998,16207,12485,9514,5782,2502,936,271,205,360109,8719,11536,12429,14278,29342,38579,30414,27819,25562,28354,29224,27775,25518,17703,12896,9593,6118,2752,991,288,219
"광진구","한국인",357215,12690,12532,13315,18945,27368,32092,32302,29496,28370,31069,27985,28525,21234,14402,11300,8121,4349,2029,689,228,174,357703,11888,12324,13257,17618,27180,33369,31210,29988,27455,31017,27806,28708,22093,15085,11576,8980,4777,2180,765,250,177,355559,11122,12060,12825,16409,26671,34585,30081,30366,25848,30316,28133,28294,23417,15262,12069,9278,5234,2316,825,258,190,351350,9873,11784,12326,15247,26183,35568,29666,28509,25329,29161,28218,27420,24385,16066,12447,9496,5766,2496,936,269,205,346682,8351,11221,12237,13694,26193,36747,29113,26870,24874,27608,28122,26419,24922,17538,12852,9576,6105,2745,990,287,218
"광진구","외국인",14889,417,209,92,764,2820,2113,1327,905,863,1281,1866,1527,556,84,23,18,16,3,4,1,-,14595,463,253,130,704,3069,2029,1363,963,756,1186,1574,1465,477,96,26,15,17,4,2,3,-,15504,456,297,141,865,3460,1920,1460,973,770,1168,1530,1755,522,118,31,14,17,4,1,2,-,15622,434,338,156,978,3659,1977,1403,1020,777,1000,1353,1693,613,141,38,18,16,6,-,2,-,13427,368,315,192,584,3149,1832,1301,949,688,746,1102,1356,596,165,44,17,13,7,1,1,1
"동대문구","계",370312,12805,12689,12316,18909,31339,30380,28435,28841,28333,30148,28133,30349,24175,17598,14894,11029,5938,2582,889,288,242,366011,11776,12329,12034,17530,31449,30960,26567,28547,26851,30122,27436,29941,24751,17998,14805,12158,6470,2729,995,317,246,364338,11347,11970,11641,16258,32448,31210,25802,28992,25519,29438,27730,29134,25684,17987,15070,12490,6986,2950,1070,353,259,363023,10735,11805,11312,15206,32766,32363,25634,27823,25194,28382,27816,28220,26417,18766,15406,12590,7476,3308,1144,384,276,357014,9720,11422,11153,13154,31905,33057,25668,26421,24799,26816,27660,26762,26681,20102,15656,12591,7868,3680,1224,362,313
"동대문구","한국인",355069,12510,12562,12232,17204,26261,27808,27277,28095,27737,29403,27205,29629,23845,17506,14867,11008,5926,2577,887,288,242,350647,11510,12184,11943,15971,25790,28376,25312,27815,26333,29457,26692,29261,24456,17901,14775,12136,6456,2723,993,317,246,348052,11083,11813,11543,14990,25740,28549,24523,28266,24950,28780,27020,28403,25401,17891,15035,12473,6968,2944,1068,353,259,346194,10467,11648,11211,14016,25485,29543,24362,27096,24657,27806,27117,27491,26125,18664,15368,12574,7462,3301,1141,384,276,342837,9517,11271,11058,12589,26031,30300,24435,25740,24284,26346,27119,26143,26392,20001,15615,12580,7851,3670,1220,362,313
"동대문구","외국인",15243,295,127,84,1705,5078,2572,1158,746,596,745,928,720,330,92,27,21,12,5,2,-,-,15364,266,145,91,1559,5659,2584,1255,732,518,665,744,680,295,97,30,22,14,6,2,-,-,16286,264,157,98,1268,6708,2661,1279,726,569,658,710,731,283,96,35,17,18,6,2,-,-,16829,268,157,101,1190,7281,2820,1272,727,537,576,699,729,292,102,38,16,14,7,3,-,-,14177,203,151,95,565,5874,2757,1233,681,515,470,541,619,289,101,41,11,17,10,4,-,-
"중랑구","계",415677,15248,14195,14043,20880,29020,30502,32894,33080,31160,36197,35853,37965,28726,20010,15424,10784,5789,2599,897,257,154,412780,14242,14084,13697,19016,27907,31385,31193,33341,29867,35613,34901,38372,29900,20768,15774,12185,6332,2788,970,280,165,408147,13005,13616,13147,17662,26693,31877,30049,33298,27961,34426,35236,37782,31565,21151,16575,12774,6890,2899,1058,314,169,402024,11975,13095,12623,16115,25102,32307,29263,31439,27542,32582,34926,36909,32982,22285,17278,13089,7590,3221,1189,326,186,399562,10726,12677,12480,14497,24114,33161,29499,29870,27953,30666,34583,35797,34092,24394,18118,13364,8099,3665,1274,327,206
"중랑구","한국인",411005,15059,14086,13992,20800,28727,29833,32277,32632,30787,35679,35248,37524,28519,19957,15415,10783,5784,2596,896,257,154,408226,14058,13960,13642,18912,27572,30747,30558,32890,29533,35119,34377,37937,29732,20717,15763,12182,6329,2784,969,280,165,403209,12808,13485,13062,17527,26247,31243,29381,32796,27606,33930,34711,37297,31368,21095,16559,12770,6887,2896,1058,314,169,397015,11768,12944,12531,16001,24589,31662,28568,30954,27170,32145,34460,36401,32757,22222,17252,13085,7588,3217,1189,326,186,394702,10531,12533,12380,14379,23622,32490,28753,29371,27583,30300,34175,35353,33891,24331,18085,13360,8097,3661,1274,327,206
"중랑구","외국인",4672,189,109,51,80,293,669,617,448,373,518,605,441,207,53,9,1,5,3,1,-,-,4554,184,124,55,104,335,638,635,451,334,494,524,435,168,51,11,3,3,4,1,-,-,4938,197,131,85,135,446,634,668,502,355,496,525,485,197,56,16,4,3,3,-,-,-,5009,207,151,92,114,513,645,695,485,372,437,466,508,225,63,26,4,2,4,-,-,-,4860,195,144,100,118,492,671,746,499,370,366,408,444,201,63,33,4,2,4,-,-,-
"성북구","계",461617,16856,18918,18993,25482,36312,33896,33154,35626,39017,40658,34622,35735,28333,20679,17665,13328,7304,3281,1100,352,306,455407,15633,18321,18836,24232,35952,34015,30891,35240,36585,41248,34139,35191,28873,21052,17386,14604,7847,3479,1197,373,313,447687,14236,17443,18158,23057,35906,34303,29124,34575,33499,40663,34853,34298,29790,21077,17598,14930,8479,3636,1329,400,333,454744,13848,17483,17664,22629,37032,36053,29692,34124,32990,40412,36275,34354,31338,21956,18156,15097,9397,3983,1497,400,364,447056,12400,16743,17432,20356,35905,36514,29293,32205,32388,38264,37110,32962,31714,23440,18599,15024,9758,4490,1658,416,385
"성북구","한국인",450355,16651,18802,18925,24116,32372,32003,32154,35029,38544,40214,34132,35378,28157,20618,17629,13312,7284,3279,1099,352,305,444055,15397,18202,18755,23000,31660,32221,29844,34603,36152,40804,33714,34876,28706,20991,17354,14586,7833,3476,1196,373,312,435868,14022,17301,18056,22030,31159,32431,28069,33939,33061,40198,34441,33906,29609,21011,17568,14910,8469,3628,1329,399,332,442650,13663,17331,17568,21534,32098,34172,28595,33446,32546,39995,35862,33979,31162,21885,18127,15071,9383,3974,1497,399,363,437153,12220,16602,17340,19805,32361,34611,28291,31552,31950,37889,36742,32639,31538,23359,18564,15004,9746,4483,1658,415,384
"성북구","외국인",11262,205,116,68,1366,3940,1893,1000,597,473,444,490,357,176,61,36,16,20,2,1,-,1,11352,236,119,81,1232,4292,1794,1047,637,433,444,425,315,167,61,32,18,14,3,1,-,1,11819,214,142,102,1027,4747,1872,1055,636,438,465,412,392,181,66,30,20,10,8,-,1,1,12094,185,152,96,1095,4934,1881,1097,678,444,417,413,375,176,71,29,26,14,9,-,1,1,9903,180,141,92,551,3544,1903,1002,653,438,375,368,323,176,81,35,20,12,7,-,1,1
"강북구","계",330704,10596,11170,11676,16780,22374,21916,23137,25076,26152,28973,26727,28866,23208,18224,15341,11110,5658,2377,844,257,242,328002,9699,10886,11304,15622,22138,22863,21437,24736,24774,29044,26273,28864,23832,18428,15345,12535,6257,2562,907,278,218,322915,8683,10390,10747,14666,21688,23249,20120,24164,22853,28337,26643,28378,24801,18223,15796,13091,6866,2718,960,311,231,317695,7766,9801,10322,13476,20968,23504,19498,22375,21993,27478,26808,27489,25640,18748,16247,13379,7636,2929,1084,318,236,311569,6706,9169,10082,12057,20228,23779,19021,20565,21432,25788,26757,26457,26106,20006,16575,13553,8107,3417,1176,337,251
"강북구","한국인",327195,10504,11127,11647,16704,22058,21374,22650,24750,25885,28653,26328,28506,23045,18172,15323,11103,5654,2373,842,256,241,324479,9618,10835,11275,15539,21708,22304,20985,24386,24529,28731,25897,28544,23691,18378,15322,12527,6252,2559,905,277,217,319164,8589,10332,10723,14538,21142,22700,19647,23799,22607,28054,26280,27990,24660,18177,15771,13083,6860,2714,959,310,229,313954,7679,9741,10294,13366,20366,22984,19007,22028,21731,27198,26488,27118,25480,18697,16218,13369,7632,2925,1082,317,234,308055,6615,9099,10048,11979,19671,23273,18553,20204,21169,25549,26491,26151,25940,19952,16545,13542,8102,3414,1173,336,249
"강북구","외국인",3509,92,43,29,76,316,542,487,326,267,320,399,360,163,52,18,7,4,4,2,1,1,3523,81,51,29,83,430,559,452,350,245,313,376,320,141,50,23,8,5,3,2,1,1,3751,94,58,24,128,546,549,473,365,246,283,363,388,141,46,25,8,6,4,1,1,2,3741,87,60,28,110,602,520,491,347,262,280,320,371,160,51,29,10,4,4,2,1,2,3514,91,70,34,78,557,506,468,361,263,239,266,306,166,54,30,11,5,3,3,1,2
"도봉구","계",350272,12178,13007,13709,20064,24621,23172,23892,25507,26995,31139,29137,31851,24490,16851,13565,10269,5830,2697,938,231,129,346234,11115,12515,13353,18399,23926,23673,22188,25224,25488,30861,28553,31712,25739,17622,13713,11511,6236,2973,1043,249,141,341649,10309,11969,12703,17091,23047,23735,20985,25098,23562,29942,28999,30940,27305,17952,14433,12022,6759,3197,1150,305,146,335631,9189,11571,11975,15836,21808,23806,20247,23709,22685,28767,28915,29964,28445,19006,14951,12190,7449,3399,1244,316,159,327361,7975,10890,11729,13961,20677,23339,19579,21978,22130,26755,28896,28435,28958,20884,15534,12187,7866,3742,1354,317,175
"도봉구","한국인",348220,12127,12979,13689,20001,24350,22867,23613,25303,26820,30948,28955,31695,24407,16819,13559,10265,5829,2696,938,231,129,344166,11062,12483,13328,18325,23675,23336,21883,25015,25323,30662,28383,31586,25660,17594,13704,11507,6235,2973,1042,249,141,339413,10250,11934,12679,17020,22711,23384,20669,24863,23386,29744,28818,30797,27232,17933,14422,12018,6757,3196,1149,305,146,333362,9127,11538,11949,15782,21472,23450,19893,23483,22498,28573,28740,29815,28378,18979,14937,12185,7447,3398,1243,316,159,325257,7915,10860,11703,13924,20408,23004,19259,21734,21965,26570,28731,28289,28886,20854,15522,12184,7862,3741,1354,317,175
"도봉구","외국인",2052,51,28,20,63,271,305,279,204,175,191,182,156,83,32,6,4,1,1,-,-,-,2068,53,32,25,74,251,337,305,209,165,199,170,126,79,28,9,4,1,-,1,-,-,2236,59,35,24,71,336,351,316,235,176,198,181,143,73,19,11,4,2,1,1,-,-,2269,62,33,26,54,336,356,354,226,187,194,175,149,67,27,14,5,2,1,1,-,-,2104,60,30,26,37,269,335,320,244,165,185,165,146,72,30,12,3,4,1,-,-,-
"노원구","계",571212,21020,23150,28127,39968,43265,35670,37836,42257,47729,55151,46281,45458,34413,23344,18368,14400,8616,4095,1452,385,227,558075,19054,22289,27109,37188,42380,35805,34419,41006,44544,54348,45151,45015,35524,24338,18450,15724,9207,4360,1504,421,239,548160,17222,21047,25948,34889,42028,36323,32181,39995,41100,53009,45757,44207,37358,25040,19279,16052,9757,4651,1617,458,242,537303,15356,20550,24639,32536,40380,36196,31073,37088,39444,50962,46364,43038,38754,26350,20311,16257,10467,5044,1749,492,253,527032,13583,19728,24300,29159,38754,36247,30673,34868,38647,48037,46927,41304,39316,28634,21248,16311,10940,5558,2013,496,289
"노원구","한국인",567581,20951,23100,28108,39716,42548,35036,37414,41931,47484,54884,46023,45249,34318,23312,18349,14388,8613,4094,1452,384,227,554403,18984,22251,27088,36904,41546,35192,33973,40705,44297,54090,44919,44842,35434,24308,18432,15713,9204,4359,1503,421,238,543752,17146,21001,25920,34524,40739,35632,31707,39669,40848,52750,45508,44014,37262,25011,19260,16043,9753,4650,1616,458,241,532905,15274,20491,24612,32236,39067,35514,30568,36762,39176,50728,46130,42826,38667,26313,20295,16247,10463,5044,1748,492,252,523037,13503,19679,24274,28961,37606,35576,30226,34514,38408,47832,46711,41117,39210,28594,21234,16302,10937,5557,2012,496,288
"노원구","외국인",3631,69,50,19,252,717,634,422,326,245,267,258,209,95,32,19,12,3,1,-,1,-,3672,70,38,21,284,834,613,446,301,247,258,232,173,90,30,18,11,3,1,1,-,1,4408,76,46,28,365,1289,691,474,326,252,259,249,193,96,29,19,9,4,1,1,-,1,4398,82,59,27,300,1313,682,505,326,268,234,234,212,87,37,16,10,4,-,1,-,1,3995,80,49,26,198,1148,671,447,354,239,205,216,187,106,40,14,9,3,1,1,-,1
"은평구","계",495937,18371,19505,20032,27196,32691,33157,36619,40704,41787,43518,38421,40620,31859,23949,19612,14673,7884,3453,1210,315,361,491202,16746,18882,19681,25514,32040,34086,34122,40175,39875,44116,37954,40468,32984,24228,19811,16145,8650,3673,1333,350,369,487666,15632,17981,18854,24311,31112,35063,32922,40100,37090,43769,38801,40017,34594,24490,20540,16795,9489,3900,1419,403,384,484546,14427,17472,18202,22771,30174,36624,32581,38294,36135,42871,39268,38996,35993,25474,21293,16960,10380,4238,1571,425,397,484043,12961,16953,18148,20737,29987,37868,33083,36504,36137,41230,40159,37891,37198,27543,22050,17132,11072,4850,1661,454,425
"은평구","한국인",491476,18242,19443,19962,26995,32347,32574,36008,40266,41410,43079,37954,40233,31659,23873,19576,14649,7871,3450,1209,315,361,486794,16630,18806,19609,25309,31695,33512,33534,39679,39508,43700,37538,40092,32782,24149,19773,16119,8641,3668,1331,350,369,483197,15508,17891,18788,24117,30784,34533,32292,39570,36709,43386,38370,39602,34384,24415,20503,16773,9474,3894,1417,403,384,480032,14303,17380,18130,22577,29833,36091,31951,37776,35752,42471,38862,38579,35760,25392,21254,16936,10365,4230,1568,425,397,479835,12839,16865,18077,20599,29682,37376,32478,36024,35746,40882,39783,37491,36983,27455,22013,17108,11055,4842,1658,454,425
"은평구","외국인",4461,129,62,70,201,344,583,611,438,377,439,467,387,200,76,36,24,13,3,1,-,-,4408,116,76,72,205,345,574,588,496,367,416,416,376,202,79,38,26,9,5,2,-,-,4469,124,90,66,194,328,530,630,530,381,383,431,415,210,75,37,22,15,6,2,-,-,4514,124,92,72,194,341,533,630,518,383,400,406,417,233,82,39,24,15,8,3,-,-,4208,122,88,71,138,305,492,605,480,391,348,376,400,215,88,37,24,17,8,3,-,-
"서대문구","계",325871,11586,11216,12000,17197,27074,26357,24565,24662,25328,28133,25005,25495,19600,14697,12858,10305,5886,2505,904,282,216,325028,10933,11194,11695,16349,27275,27098,23299,24721,24195,28181,24890,25617,20315,14736,12778,11183,6338,2712,1002,290,227,323080,10301,11186,11246,15351,27283,27975,22459,24796,22926,27429,25158,25210,21304,14849,12907,11353,6822,2891,1055,330,249,323171,9600,11136,10999,14924,27421,28802,22567,23982,22399,26786,25501,24887,22093,15247,13138,11225,7501,3140,1191,353,279,322952,9170,11272,11092,13280,26000,29760,23023,23783,22783,25726,25981,24250,22628,16454,13382,11100,7734,3577,1287,371,299
