기준_년분기_코드,행정동_코드,행정동_코드_명,소득_구간_코드,교육_지출_총금액,,,자치구별,2019,2020,2021,2022
20194,11410,서대문구,7,3278723000,,,,,,,
20194,11650,서초구,9,12850264000,,,,,,,
20194,11260,중랑구,6,2836137000,,,,,,,
20194,11290,성북구,7,3782166000,,,,,,,
20194,11500,강서구,7,5715736000,,,,,,,
20194,11710,송파구,8,8413954000,,,,,,,
20194,11200,성동구,7,4504997000,,,,,,,
20194,11305,강북구,6,1394943000,,,,,,,
20194,11470,양천구,8,9910227000,,,,,,,
20194,11110,종로구,7,3314603000,,,,,,,
20194,11170,용산구,8,1381147000,,,,,,,
20194,11230,동대문구,7,2271441000,,,,,,,
20194,11380,은평구,6,4135350000,,,,,,,
20194,11680,강남구,9,29762356000,,,,,,,
20194,11740,강동구,7,4792550000,,,,,,,
20194,11140,중구,7,16006387000,,,,,,,
20201,11320,도봉구,6,2060712000,,,,,,,
20201,11500,강서구,7,5239181000,,,,,,,
20201,11620,관악구,6,12725499000,,,,,,,
20201,11680,강남구,9,24106211000,,,,,,,
20201,11140,중구,7,15289900000,,,,,,,
20201,11200,성동구,7,3735569000,,,,,,,
20201,11590,동작구,7,3753701000,,,,,,,
20201,11170,용산구,8,1150377000,,,,,,,
20201,11260,중랑구,6,2558384000,,,,,,,
20201,11380,은평구,6,3717123000,,,,,,,
20201,11440,마포구,8,7047389000,,,,,,,
20201,11410,서대문구,7,2671863000,,,,,,,
20201,11470,양천구,8,9280220000,,,,,,,
20201,11560,영등포구,7,2908726000,,,,,,,
20201,11650,서초구,9,10954330000,,,,,,,
20201,11710,송파구,8,7221718000,,,,,,,
20201,11110,종로구,7,6507483000,,,,,,,
20201,11305,강북구,6,1263039000,,,,,,,
20201,11530,구로구,7,2593647000,,,,,,,
20201,11545,금천구,6,1379746000,,,,,,,
20201,11740,강동구,7,4225887000,,,,,,,
20201,11215,광진구,7,2867276000,,,,,,,
20201,11290,성북구,7,3738298000,,,,,,,
20201,11350,노원구,7,6841387000,,,,,,,
20201,11230,동대문구,7,2066854000,,,,,,,
20202,11260,중랑구,6,2515924000,,,,,,,
20202,11500,강서구,7,5155682000,,,,,,,
20202,11710,송파구,8,7889839000,,,,,,,
20202,11215,광진구,7,2880289000,,,,,,,
20202,11305,강북구,6,1259381000,,,,,,,
20202,11350,노원구,7,7033831000,,,,,,,
20202,11440,마포구,8,6894519000,,,,,,,
20202,11470,양천구,8,9992380000,,,,,,,
20202,11530,구로구,7,2452534000,,,,,,,
20202,11620,관악구,6,12335438000,,,,,,,
20202,11740,강동구,7,4693222000,,,,,,,
20202,11230,동대문구,7,2065626000,,,,,,,
20202,11380,은평구,6,3822260000,,,,,,,
20202,11680,강남구,9,26855906000,,,,,,,
20202,11290,성북구,7,3342419000,,,,,,,
20202,11545,금천구,6,1261939000,,,,,,,
20202,11590,동작구,7,3907408000,,,,,,,
20202,11410,서대문구,7,2974353000,,,,,,,
20202,11110,종로구,7,2875258000,,,,,,,
20202,11200,성동구,7,3947145000,,,,,,,
20202,11560,영등포구,7,2713421000,,,,,,,
20202,11140,중구,7,15045008000,,,,,,,
20202,11170,용산구,8,1179988000,,,,,,,
20202,11320,도봉구,6,1995817000,,,,,,,
20202,11650,서초구,9,12554574000,,,,,,,
20203,11500,강서구,7,5202505000,,,,,,,
20203,11530,구로구,7,2931446000,,,,,,,
20203,11650,서초구,9,12561188000,,,,,,,
20203,11740,강동구,7,4421587000,,,,,,,
20203,11140,중구,7,16223610000,,,,,,,
20203,11230,동대문구,7,2034324000,,,,,,,
20203,11545,금천구,6,1269819000,,,,,,,
20203,11110,종로구,7,5575057000,,,,,,,
20203,11170,용산구,8,1152390000,,,,,,,
20203,11215,광진구,7,2668923000,,,,,,,
20203,11440,마포구,8,7334970000,,,,,,,
20203,11320,도봉구,6,2014705000,,,,,,,
20203,11350,노원구,7,6411779000,,,,,,,
20203,11380,은평구,6,3742631000,,,,,,,
20203,11470,양천구,8,9912415000,,,,,,,
20203,11560,영등포구,7,2753655000,,,,,,,
20203,11680,강남구,9,27903195000,,,,,,,
20203,11200,성동구,7,3529209000,,,,,,,
20203,11260,중랑구,6,2523122000,,,,,,,
20203,11305,강북구,6,1282686000,,,,,,,
20203,11410,서대문구,7,2731688000,,,,,,,
20203,11290,성북구,7,3555844000,,,,,,,
20203,11590,동작구,7,3735371000,,,,,,,
20203,11620,관악구,6,12663001000,,,,,,,
20203,11710,송파구,8,7950155000,,,,,,,
20204,11350,노원구,7,6352311000,,,,,,,
20204,11590,동작구,7,3498728000,,,,,,,
20204,11200,성동구,7,3370220000,,,,,,,
20204,11230,동대문구,7,1968828000,,,,,,,
20204,11110,종로구,7,2456984000,,,,,,,
20204,11305,강북구,6,1257435000,,,,,,,
20204,11410,서대문구,7,2522998000,,,,,,,
20204,11440,마포구,8,7052025000,,,,,,,
20204,11530,구로구,7,3035259000,,,,,,,
20204,11545,금천구,6,1418742000,,,,,,,
20204,11560,영등포구,7,2617399000,,,,,,,
20204,11170,용산구,8,1148428000,,,,,,,
20204,11620,관악구,6,13046959000,,,,,,,
20204,11470,양천구,8,9360664000,,,,,,,
20204,11500,강서구,7,4895644000,,,,,,,
20204,11710,송파구,8,7575834000,,,,,,,
20204,11215,광진구,7,2589889000,,,,,,,
20204,11260,중랑구,6,2453994000,,,,,,,
20204,11290,성북구,7,3083701000,,,,,,,
20204,11320,도봉구,6,1945635000,,,,,,,
20204,11740,강동구,7,4187321000,,,,,,,
20204,11140,중구,7,17746616000,,,,,,,
20204,11380,은평구,6,3793602000,,,,,,,
20204,11650,서초구,9,11288320000,,,,,,,
20204,11680,강남구,9,25112928000,,,,,,,
20211,11470,양천구,8,9600263000,,,,,,,
20211,11545,금천구,6,1302218000,,,,,,,
20211,11560,영등포구,7,2759278000,,,,,,,
20211,11200,성동구,7,3229363000,,,,,,,
20211,11305,강북구,6,1296607000,,,,,,,
20211,11440,마포구,8,7185098000,,,,,,,
20211,11530,구로구,7,3176251000,,,,,,,
20211,11620,관악구,6,13337924000,,,,,,,
20211,11320,도봉구,6,2099530000,,,,,,,
20211,11590,동작구,7,3374369000,,,,,,,
20211,11650,서초구,9,11366984000,,,,,,,
20211,11680,강남구,9,25806083000,,,,,,,
20211,11215,광진구,7,2746401000,,,,,,,
20211,11710,송파구,8,8018030000,,,,,,,
20211,11290,성북구,7,3753206000,,,,,,,
20211,11140,중구,7,18578378000,,,,,,,
20211,11170,용산구,8,1140827000,,,,,,,
20211,11350,노원구,7,6585992000,,,,,,,
20211,11110,종로구,7,6250797000,,,,,,,
20211,11410,서대문구,7,2635536000,,,,,,,
20211,11230,동대문구,7,2149734000,,,,,,,
20211,11260,중랑구,6,2529342000,,,,,,,
20211,11380,은평구,6,3828773000,,,,,,,
20211,11500,강서구,7,5250448000,,,,,,,
20211,11740,강동구,7,4508645000,,,,,,,
20212,11470,양천구,8,10100705000,,,,,,,
20212,11110,종로구,7,2926110000,,,,,,,
20212,11200,성동구,7,3425854000,,,,,,,
20212,11290,성북구,7,3270703000,,,,,,,
20212,11500,강서구,7,5554421000,,,,,,,
20212,11650,서초구,9,12112494000,,,,,,,
20212,11740,강동구,7,4802644000,,,,,,,
20212,11560,영등포구,7,2827964000,,,,,,,
20212,11710,송파구,8,8959526000,,,,,,,
20212,11140,중구,7,20174521000,,,,,,,
