시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,Latitude,Longitude,해제사유발생일,등기일자,거래유형,중개사소재지
서울특별시 은평구 증산동,252,252,0,인우,92.32,202311,2,"64,000",6,2003,증산로5길 2,37.582653,126.9078711,,,중개거래,서울 은평구
서울특별시 은평구 진관동,27,27,0,구파발10단지어울림(1011~1019동)BL3-1,84.78,202310,28,"84,000",5,2010,진관3로 15-45,37.6449551,126.9237157,,20231108,중개거래,서울 은평구
서울특별시 은평구 진관동,107,107,0,마고정3단지센트레빌(310~322동)BL2-3,59.71,202311,2,"64,500",2,2009,진관2로 90,37.6333606,126.9276514,,,중개거래,서울 은평구
서울특별시 은평구 진관동,105,105,0,마고정3단지센트레빌(323~335동)BL2-2,84.04,202311,3,"99,500",4,2009,진관2로 60,37.6334239,126.9239746,,,중개거래,"경기 고양덕양구, 서울 은평구"
서울특별시 은평구 진관동,105,105,0,마고정3단지센트레빌(323~335동)BL2-2,84.14,202311,6,"91,000",2,2009,진관2로 60,37.6334239,126.9239746,,,중개거래,서울 은평구
서울특별시 종로구 사직동,9,9,0,광화문스페이스본(101동~105동),108.07,202311,1,"155,000",1,2008,사직로8길 4,37.5744169,126.9688811,,,중개거래,서울 종로구
서울특별시 종로구 숭인동,1392,1392,0,익성씨티하임,15.42,202311,2,"11,700",11,2013,난계로29가길 17,37.573716,127.0227201,,20231102,중개거래,서울 동대문구
서울특별시 종로구 숭인동,201-11,201,11,종로유케이201,12.08,202310,28,"8,900",11,2013,난계로29길 33-4,37.5738382,127.0213071,,20231030,중개거래,서울 종로구
서울특별시 종로구 숭인동,201-11,201,11,종로유케이201,12.09,202311,11,"10,500",8,2013,난계로29길 33-4,37.5738382,127.0213071,,20231113,중개거래,서울 종로구
서울특별시 종로구 숭인동,766,766,0,종로청계힐스테이트,59.9426,202311,17,"80,000",5,2009,숭인동길 21,37.5760301,127.0211514,,,중개거래,서울 종로구
서울특별시 종로구 연건동,195-10,195,10,이화에수풀,16.98,202311,17,"18,800",11,2014,대학로 47,37.5754386,127.0018455,,,중개거래,서울 성북구
서울특별시 종로구 창신동,23-76,23,76,브라운스톤창신,84.67,202311,1,"78,000",3,2006,지봉로 81,37.48761,126.8082916,,,중개거래,서울 종로구
서울특별시 종로구 평동,233,233,0,경희궁자이(3단지),59.8547,202311,4,"150,500",1,2017,경교장길 35,37.5686016,126.966059,,,중개거래,서울 종로구
서울특별시 중구 신당동,844,844,0,남산타운,84.88,202310,28,"119,500",14,2002,다산로 32,37.5490132,127.0092806,,,중개거래,"경기 성남분당구, 서울 중구"
서울특별시 중구 신당동,844,844,0,남산타운,114.88,202310,28,"130,000",8,2002,다산로 32,37.5490132,127.0092806,,,중개거래,서울 중구
서울특별시 중구 신당동,844,844,0,남산타운,84.88,202311,5,"78,000",12,2002,다산로 32,37.5490132,127.0092806,,,직거래,-
서울특별시 중구 신당동,844,844,0,남산타운,59.94,202311,18,"92,000",2,2002,다산로 32,37.5490132,127.0092806,,,중개거래,서울 중구
서울특별시 중구 신당동,432-498,432,498,다오아트빌,53.7,202310,30,"32,000",2,2000,동호로11마길 24,37.5510591,127.0061351,,,중개거래,서울 중구
서울특별시 중구 신당동,851,851,0,래미안하이베르,59.95,202310,27,"99,000",6,2011,퇴계로90길 74,37.5616188,127.0227206,,,중개거래,서울 중구
서울특별시 중구 신당동,851,851,0,래미안하이베르,84.85,202311,8,"105,000",10,2011,퇴계로90길 74,37.5616188,127.0227206,,,중개거래,서울 중구
서울특별시 중구 신당동,846,846,0,신당동파라다이스,84.77,202311,7,"75,500",2,2000,다산로42나길 46,37.5623943,127.0172826,,,중개거래,서울 중구
서울특별시 중구 신당동,846,846,0,신당동파라다이스,59.9,202311,23,"60,000",8,2000,다산로42나길 46,37.5623943,127.0172826,,,직거래,-
서울특별시 중구 신당동,857,857,0,약수역더시티,18.86,202311,13,"28,000",11,2021,동호로7길 14,35.8682249,128.7310212,,,중개거래,서울 중구
