시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,,1평,시군구,평당 평균 가격(만원),,시군구,전용면적(㎡),평수,거래금액(만원),평당 가격(만원),,,,,,,
서울특별시 강남구 개포동,185,185,0,개포주공7단지,73.26,201612,17,"108,000",7,1983,개포로 516,,,,,,서울특별시 강남구 개포동,73.26,22.16118435,"108,000",4873.385749,,,,,,,
서울특별시 강남구 개포동,185,185,0,개포주공7단지,73.26,201612,30,"105,000",15,1983,개포로 516,,,,,,서울특별시 강남구 개포동,73.26,22.16118435,"105,000",4738.013923,,,,,,,
서울특별시 강남구 개포동,649,649,0,경남2차,182.2,201612,9,"170,000",12,1984,언주로 110,,,,,,서울특별시 강남구 개포동,182.2,55.11558543,"170,000",3084.427003,,,,,,,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,201612,1,"51,000",12,1992,개포로109길 9,,,,,,서울특별시 강남구 개포동,33.18,10.03696556,"51,000",5081.216998,,,,,,,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,201612,8,"54,000",9,1992,개포로109길 9,,,,,,서울특별시 강남구 개포동,33.18,10.03696556,"54,000",5380.112116,,,,,,,
서울특별시 강남구 개포동,656,656,0,시영,40.42,201612,19,"73,000",4,1984,언주로 21,,,,,,서울특별시 강남구 개포동,40.42,12.22706895,"73,000",5970.359723,,,,,,,
서울특별시 강남구 개포동,656,656,0,시영,28.79,201612,24,"64,000",2,1984,언주로 21,,,,,,서울특별시 강남구 개포동,28.79,8.708988499,"64,000",7348.72942,,,,,,,
서울특별시 강남구 개포동,179,179,0,우성8,79.61,201612,24,"94,000",3,1987,개포로 411,,,,,,서울특별시 강남구 개포동,79.61,24.08206233,"94,000",3903.320186,,,,,,,
서울특별시 강남구 개포동,1164-20,1164,20,한림,72.78,201612,12,"50,000",5,2002,논현로2길 50,,,,,,서울특별시 강남구 개포동,72.78,22.01598412,"50,000",2271.077219,,,,,,,
서울특별시 강남구 논현동,196,196,0,거평프리젠,30.215,201612,12,"24,500",9,1996,강남대로112길 41,,,,,,서울특별시 강남구 논현동,30.215,9.140051667,"24,500",2680.510012,,,,,,,
서울특별시 강남구 논현동,205-2,205,2,논현동한화꿈에그린,67.671,201612,16,"68,500",5,2005,논현로111길 39,,,,,,서울특별시 강남구 논현동,67.671,20.47050923,"68,500",3346.277283,,,,,,,
서울특별시 강남구 논현동,108,108,0,논현웰스톤,80.77,201612,19,"66,500",7,2009,학동로43길 38,,,,,,서울특별시 강남구 논현동,80.77,24.43296287,"66,500",2721.732945,,,,,,,
서울특별시 강남구 논현동,105-3,105,3,논현한가람빌라트,84.95,201612,14,"72,700",2,2002,도산대로50길 54,,,,,,서울특별시 강남구 논현동,84.95,25.69741483,"72,700",2829.078352,,,,,,,
서울특별시 강남구 논현동,275,275,0,동부센트레빌,84.9875,201612,4,"85,000",17,2003,언주로116길 6,,,,,,서울특별시 강남구 논현동,84.9875,25.7087586,"85,000",3306.266216,,,,,,,
서울특별시 강남구 논현동,245,245,0,동양파라곤,180.07,201612,13,"217,000",2,2004,언주로130길 30,,,,,,서울특별시 강남구 논현동,180.07,54.47125943,"217,000",3983.752207,,,,,,,
서울특별시 강남구 논현동,105,105,0,동현아파트1~6,84.92,201612,7,"99,000",12,1985,언주로146길 18,,,,,,서울특별시 강남구 논현동,84.92,25.68833982,"99,000",3853.888601,,,,,,,
서울특별시 강남구 논현동,105,105,0,동현아파트1~6,84.92,201612,27,"93,000",14,1985,언주로146길 18,,,,,,서울특별시 강남구 논현동,84.92,25.68833982,"93,000",3620.319595,,,,,,,
서울특별시 강남구 논현동,114-23,114,23,로체샤르캐슬,105.99,201612,3,"72,300",3,2009,언주로136길 16,,,,,,서울특별시 강남구 논현동,105.99,32.0620247,"72,300",2255.004189,,,,,,,
서울특별시 강남구 논현동,Feb-58,58,2,마일스디오빌,36.29,201612,22,"37,400",6,2004,학동로 165,,,,,,서울특별시 강남구 논현동,36.29,10.97774202,"37,400",3406.89369,,,,,,,
서울특별시 강남구 논현동,276-1,276,1,아크로힐스논현,84.074,201612,7,"116,000",6,2014,언주로 604,,,,,,서울특별시 강남구 논현동,84.074,25.43242442,"116,000",4561.106644,,,,,,,
서울특별시 강남구 논현동,229-13,229,13,이움빌라,113.14,201612,6,"72,000",5,2005,봉은사로29길 26,,,,,,서울특별시 강남구 논현동,113.14,34.22490305,"72,000",2103.731306,,,,,,,
서울특별시 강남구 논현동,261,261,0,현대인텔렉스,133.16,201612,8,"84,000",15,1997,언주로 620,,,,,,서울특별시 강남구 논현동,133.16,40.28096244,"84,000",2085.352358,,,,,,,
서울특별시 강남구 대치동,891-23,891,23,대우아이빌명문가(891-23),34.2,201612,7,"26,800",11,2004,선릉로90길 56,,,,,,서울특별시 강남구 대치동,34.2,10.34551604,"26,800",2590.494269,,,,,,,
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,59.88,201612,2,"85,000",8,2000,도곡로78길 22,,,,,,서울특별시 강남구 대치동,59.88,18.11372808,"85,000",4692.57348,,,,,,,
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,97.35,201612,16,"126,000",19,2000,도곡로78길 22,,,,,,서울특별시 강남구 대치동,97.35,29.44842065,"126,000",4278.667488,,,,,,,
서울특별시 강남구 대치동,888,888,0,대치아이파크,149.78,201612,6,"188,000",10,2008,선릉로 222,,,,,,서울특별시 강남구 대치동,149.78,45.30852023,"188,000",4149.329951,,,,,,,
서울특별시 강남구 대치동,888,888,0,대치아이파크,149.78,201612,6,"192,000",12,2008,선릉로 222,,,,,,서울특별시 강남구 대치동,149.78,45.30852023,"192,000",4237.613567,,,,,,,
서울특별시 강남구 대치동,888,888,0,대치아이파크,84.95,201612,11,"128,000",15,2008,선릉로 222,,,,,,서울특별시 강남구 대치동,84.95,25.69741483,"128,000",4981.045792,,,,,,,
서울특별시 강남구 대치동,888,888,0,대치아이파크,114.97,201612,31,"165,800",19,2008,선릉로 222,,,,,,서울특별시 강남구 대치동,114.97,34.77847891,"165,800",4767.31603,,,,,,,
서울특별시 강남구 대치동,974,974,0,대치현대,85,201612,5,"101,250",8,1999,삼성로64길 5,,,,,,서울특별시 강남구 대치동,85,25.71253985,"101,250",3937.767353,,,,,,,
서울특별시 강남구 대치동,988-4,988,4,대치효성,59.84,201612,27,"65,000",8,1999,삼성로64길 12,,,,,,서울특별시 강남구 대치동,59.84,18.10162806,"65,000",3590.837233,,,,,,,
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,201612,16,"220,000",25,2005,선릉로 206,,,,,,서울특별시 강남구 대치동,145.83,44.11364338,"220,000",4987.119248,,,,,,,
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,114.15,201612,12,"218,000",11,2015,삼성로51길 37,,,,,,서울특별시 강남구 대치동,114.15,34.53042852,"218,000",6313.272361,,,,,,,
